SITE_ID,SITE_FID,SITE_YEAR,FIELDOFFICE_ID,FIELD_OFFICE,PROJECT_ID,PROJECT,SEGMENT_ID,SEGMENT,SEASON_ID,SEASON,BEND,BENDRN,BEND_RIVER_MILE,COMMENTS
8711,,2020,SD,SD - Yankton FWMAO,1,1 - Pallid Sturgeon Population Assessment,7,7 - Gavins Point Dam to Ponca,MR,MR - Mark Recapture,7,N,801,-
8741,,2020,SD,SD - Yankton FWMAO,1,1 - Pallid Sturgeon Population Assessment,7,7 - Gavins Point Dam to Ponca,MR,MR - Mark Recapture,7,R,801,-
8712,,2020,SD,SD - Yankton FWMAO,1,1 - Pallid Sturgeon Population Assessment,7,7 - Gavins Point Dam to Ponca,MR,MR - Mark Recapture,8,N,799.5,-
8742,,2020,SD,SD - Yankton FWMAO,1,1 - Pallid Sturgeon Population Assessment,7,7 - Gavins Point Dam to Ponca,MR,MR - Mark Recapture,8,R,799.5,-
8713,,2020,SD,SD - Yankton FWMAO,1,1 - Pallid Sturgeon Population Assessment,7,7 - Gavins Point Dam to Ponca,MR,MR - Mark Recapture,9,N,797.5,-
8714,,2020,SD,SD - Yankton FWMAO,1,1 - Pallid Sturgeon Population Assessment,7,7 - Gavins Point Dam to Ponca,MR,MR - Mark Recapture,10,N,796.5,-
8715,,2020,SD,SD - Yankton FWMAO,1,1 - Pallid Sturgeon Population Assessment,7,7 - Gavins Point Dam to Ponca,MR,MR - Mark Recapture,11,N,795,-
8892,,2020,SD,SD - Yankton FWMAO,1,1 - Pallid Sturgeon Population Assessment,7,7 - Gavins Point Dam to Ponca,MR,MR - Mark Recapture,11,R,795,-
8716,,2020,SD,SD - Yankton FWMAO,1,1 - Pallid Sturgeon Population Assessment,7,7 - Gavins Point Dam to Ponca,MR,MR - Mark Recapture,12,N,793,-
8717,,2020,SD,SD - Yankton FWMAO,1,1 - Pallid Sturgeon Population Assessment,7,7 - Gavins Point Dam to Ponca,MR,MR - Mark Recapture,13,N,789,-
8718,,2020,SD,SD - Yankton FWMAO,1,1 - Pallid Sturgeon Population Assessment,7,7 - Gavins Point Dam to Ponca,MR,MR - Mark Recapture,14,N,787.5,-
8719,,2020,SD,SD - Yankton FWMAO,1,1 - Pallid Sturgeon Population Assessment,7,7 - Gavins Point Dam to Ponca,MR,MR - Mark Recapture,15,N,782.5,-
8720,,2020,SD,SD - Yankton FWMAO,1,1 - Pallid Sturgeon Population Assessment,7,7 - Gavins Point Dam to Ponca,MR,MR - Mark Recapture,16,N,779.5,-
8893,,2020,SD,SD - Yankton FWMAO,1,1 - Pallid Sturgeon Population Assessment,7,7 - Gavins Point Dam to Ponca,MR,MR - Mark Recapture,13,R,777.5,-
8721,,2020,SD,SD - Yankton FWMAO,1,1 - Pallid Sturgeon Population Assessment,7,7 - Gavins Point Dam to Ponca,MR,MR - Mark Recapture,17,N,777.5,-
8722,,2020,SD,SD - Yankton FWMAO,1,1 - Pallid Sturgeon Population Assessment,7,7 - Gavins Point Dam to Ponca,MR,MR - Mark Recapture,18,N,775.5,-
8744,,2020,SD,SD - Yankton FWMAO,1,1 - Pallid Sturgeon Population Assessment,7,7 - Gavins Point Dam to Ponca,MR,MR - Mark Recapture,18,R,775.5,-
8723,,2020,SD,SD - Yankton FWMAO,1,1 - Pallid Sturgeon Population Assessment,7,7 - Gavins Point Dam to Ponca,MR,MR - Mark Recapture,19,N,774,-
8894,,2020,SD,SD - Yankton FWMAO,1,1 - Pallid Sturgeon Population Assessment,7,7 - Gavins Point Dam to Ponca,MR,MR - Mark Recapture,19,R,774,-
8724,,2020,SD,SD - Yankton FWMAO,1,1 - Pallid Sturgeon Population Assessment,7,7 - Gavins Point Dam to Ponca,MR,MR - Mark Recapture,20,N,773.5,-
8725,,2020,SD,SD - Yankton FWMAO,1,1 - Pallid Sturgeon Population Assessment,7,7 - Gavins Point Dam to Ponca,MR,MR - Mark Recapture,21,N,772.5,-
8726,,2020,SD,SD - Yankton FWMAO,1,1 - Pallid Sturgeon Population Assessment,7,7 - Gavins Point Dam to Ponca,MR,MR - Mark Recapture,22,N,770,-
8727,,2020,SD,SD - Yankton FWMAO,1,1 - Pallid Sturgeon Population Assessment,7,7 - Gavins Point Dam to Ponca,MR,MR - Mark Recapture,23,N,769,-
8728,,2020,SD,SD - Yankton FWMAO,1,1 - Pallid Sturgeon Population Assessment,7,7 - Gavins Point Dam to Ponca,MR,MR - Mark Recapture,24,N,767,-
8747,,2020,SD,SD - Yankton FWMAO,1,1 - Pallid Sturgeon Population Assessment,7,7 - Gavins Point Dam to Ponca,MR,MR - Mark Recapture,24,R,767,-
8729,,2020,SD,SD - Yankton FWMAO,1,1 - Pallid Sturgeon Population Assessment,7,7 - Gavins Point Dam to Ponca,MR,MR - Mark Recapture,25,N,764.5,-
8748,,2020,SD,SD - Yankton FWMAO,1,1 - Pallid Sturgeon Population Assessment,7,7 - Gavins Point Dam to Ponca,MR,MR - Mark Recapture,25,R,764.5,-
8730,,2020,SD,SD - Yankton FWMAO,1,1 - Pallid Sturgeon Population Assessment,7,7 - Gavins Point Dam to Ponca,MR,MR - Mark Recapture,26,N,763.5,-
8731,,2020,SD,SD - Yankton FWMAO,1,1 - Pallid Sturgeon Population Assessment,7,7 - Gavins Point Dam to Ponca,MR,MR - Mark Recapture,27,N,762,-
8732,,2020,SD,SD - Yankton FWMAO,1,1 - Pallid Sturgeon Population Assessment,7,7 - Gavins Point Dam to Ponca,MR,MR - Mark Recapture,28,N,761,-
8733,,2020,SD,SD - Yankton FWMAO,1,1 - Pallid Sturgeon Population Assessment,7,7 - Gavins Point Dam to Ponca,MR,MR - Mark Recapture,29,N,760,-
8734,,2020,SD,SD - Yankton FWMAO,1,1 - Pallid Sturgeon Population Assessment,7,7 - Gavins Point Dam to Ponca,MR,MR - Mark Recapture,30,N,757.5,-
8749,,2020,SD,SD - Yankton FWMAO,1,1 - Pallid Sturgeon Population Assessment,7,7 - Gavins Point Dam to Ponca,MR,MR - Mark Recapture,30,R,757.5,-
8735,,2020,SD,SD - Yankton FWMAO,1,1 - Pallid Sturgeon Population Assessment,7,7 - Gavins Point Dam to Ponca,MR,MR - Mark Recapture,31,N,756,-
8736,,2020,SD,SD - Yankton FWMAO,1,1 - Pallid Sturgeon Population Assessment,7,7 - Gavins Point Dam to Ponca,MR,MR - Mark Recapture,32,N,755.5,-
8750,,2020,SD,SD - Yankton FWMAO,1,1 - Pallid Sturgeon Population Assessment,7,7 - Gavins Point Dam to Ponca,MR,MR - Mark Recapture,32,R,755.5,-
8737,,2020,SD,SD - Yankton FWMAO,1,1 - Pallid Sturgeon Population Assessment,7,7 - Gavins Point Dam to Ponca,MR,MR - Mark Recapture,33,N,754,-
8738,,2020,SD,SD - Yankton FWMAO,1,1 - Pallid Sturgeon Population Assessment,7,7 - Gavins Point Dam to Ponca,MR,MR - Mark Recapture,34,N,779,-
8883,,2020,NE,NE - Nebraska Game and Parks Commission,1,1 - Pallid Sturgeon Population Assessment,8,8 - Ponca to Platte River confluence,MR,MR - Mark Recapture,0,R,0,
